St. Barth,5/9/2020,
St. Vincent Grenadines,5/9/2020,
Sudan,5/9/2020,53
Suriname,5/9/2020,
Sweden,5/9/2020,656
Switzerland,5/9/2020,44
Syria,5/9/2020,
Taiwan,5/9/2020,
Tajikistan,5/9/2020,90
Tanzania,5/9/2020,
Thailand,5/9/2020,4
Timor-Leste,5/9/2020,
Togo,5/9/2020,8
Total:,5/9/2020,"16,053"
Total:,5/9/2020,"29,631"
Total:,5/9/2020,"24,573"
Total:,5/9/2020,"15,779"
Total:,5/9/2020,"2,935"
Total:,5/9/2020,17
Total:,5/9/2020,
Total:,5/9/2020,"88,988"
Trinidad and Tobago,5/9/2020,
Tunisia,5/9/2020,2
Turkey,5/9/2020,"1,546"
Turks and Caicos,5/9/2020,
UAE,5/9/2020,624
Uganda,5/9/2020,15
UK,5/9/2020,"3,896"
Ukraine,5/9/2020,515
Uruguay,5/9/2020,8
USA,5/9/2020,"25,524"
Uzbekistan,5/9/2020,24
Vatican City,5/9/2020,
Venezuela,5/9/2020,14
Vietnam,5/9/2020,
Western Sahara,5/9/2020,
World,5/9/2020,"88,988"
Yemen,5/9/2020,
Zambia,5/9/2020,85
Zimbabwe,5/9/2020,1
